pst,gv_aug_monthly,cvr_aug,cvr_jul,cvr_h1,asp_aug,gmv_aug_monthly,opp_vs_jul,opp_vs_h1
dinnerware_stemware_storage,3235.7,0.038755137991779216,0.033355134074558535,0.028519259194852622,34.79601851851852,7140.143,0.0,0.0
egg_holder,1195.1,0.07313195548489666,0.058823529411764705,0.04899135446685879,30.461632653061223,2835.9779999999996,0.0,0.0
flatware_utensil_storage,2718.9,0.05241090146750524,0.0377768128528007,0.03987250420976666,44.362151898734176,6658.759,0.0,0.0
cube_shelf,1672.0,0.042045454545454546,0.03458646616541353,0.033411668539899866,64.14959183673469,5972.326999999999,0.0,0.0
lunch_bag,45183.9,0.05659980656826879,0.045862309661073915,0.044548953021408745,31.82581196581197,84898.53600000001,0.0,0.0
kitchen_storage_accessories,4362.4,0.057926829268292686,0.052393857271906055,0.059516816916515565,36.388301886792455,10992.905999999999,0.0,252.39516103484658
garment_rack,,,,0.25,,,0.0,0.0
garage_storage,3110.2999999999997,0.05070250458155162,0.03475567790777701,0.03438739930263316,66.53853448275862,14665.092999999999,0.0,0.0
food_saver,4318.7,0.09414870215574131,0.06971677559912855,0.04644326866549089,33.06706349206349,15832.509999999998,0.0,0.0
lunch_box,121541.09999999999,0.031171348621988774,0.02749613998970664,0.03137309673509583,48.6223059566787,204719.357,0.0,1192.252374266958
outdoor_storage,1130.5,0.03697478991596639,0.016569637259292433,0.03036970467011683,93.44255813953488,7634.257,0.0,0.0
other_storage,4432.7,0.1135876553793399,0.07592143014787023,0.04993405627198124,31.148851174934723,22667.018999999997,0.0,0.0
space_saver_bag,64381.5,0.07312970340858788,0.0728683024950746,0.07476987103372873,53.6110370634355,285821.883,0.0,5661.135299687939
sink_sets,2380.7,0.08300079808459697,0.08125765618619844,0.06343205208989708,34.760288461538465,6868.633000000001,0.0,0.0
pods,167.2,0.056818181818181816,0.03611738148984198,0.04277743335399876,61.788,586.986,0.0,0.0
paper_towel_holder,1219.8,0.23208722741433022,0.14384033035099794,0.09063604240282686,24.92025,7575.755999999999,0.0,0.0
spice_jars,23413.699999999997,0.05380183396900105,0.04572725798605481,0.03834549235797049,44.33419786096256,63007.76199999999,0.0,0.0
storage_set,20947.5,0.08199546485260771,0.06393616484015958,0.04631714002449409,31.806147227533458,63211.53699999999,0.0,0.0
travel_containers,1936.1,0.1197252208047105,0.11004056795131846,0.04890109890109891,15.562994350282484,5233.834999999999,0.0,0.0
under_bed_storage,4453.599999999999,0.07423208191126279,0.07244619581691422,0.05012588693064775,42.975174129353235,16412.219,0.0,0.0
