pst,gmv,gv,orders,impressions,atc,units,instock_wtd,platform_gmv_loss,ctr,cvr,atc_rate,asp,gv_share,problem_tags
clothes_rack,69771.39,18314.0,864.0,364667.0,2964.7,939.0,97.98002893951295,1394.31,0.05022116067535587,0.04717702304248116,0.16188162061810635,74.30392971246006,3.023678935950311,[]
cooler,3660.92,503.0,40.0,8593.0,104.3,45.0,96.89363817106428,0.0,0.05853601768881648,0.07952286282306163,0.2073558648111332,81.35377777777778,0.08304633093715226,"['A: Traffic problem (high CVR, low GV)']"
countertop_wall_organization,3512.17,2015.0,77.0,43924.0,343.5,81.0,91.69665012524563,322.0,0.04587469265094254,0.03821339950372209,0.1704714640198511,43.36012345679013,0.33268062989733954,[]
cube_shelf,3143.33,880.0,37.0,12852.0,117.9,49.0,98.40198863470901,25.7,0.06847183317771553,0.042045454545454546,0.13397727272727272,64.14959183673469,0.14528980362762223,[]
dinnerware_stemware_storage,3757.9700000000003,1703.0,66.0,27304.0,293.9,108.0,98.44759248382303,0.0,0.06237181365367712,0.038755137991779216,0.17257780387551377,34.79601851851852,0.28116879042936443,[]
egg_holder,1492.62,629.0,46.0,24362.0,147.0,49.0,97.87360890279751,0.0,0.025818898284213118,0.07313195548489666,0.23370429252782193,30.461632653061223,0.10384918918383453,"['A: Traffic problem (high CVR, low GV)']"
flatware_utensil_storage,3504.61,1431.0,75.0,23006.0,234.89999999999998,79.0,97.36635220112453,0.0,0.06220116491350083,0.05241090146750524,0.1641509433962264,44.362151898734176,0.236261032944463,"['A: Traffic problem (high CVR, low GV)']"
foldable_wardrobe,36419.75,13700.0,353.0,232691.0,1288.6999999999998,384.0,98.49406934290397,457.43,0.058876363933284916,0.025766423357664235,0.09406569343065692,94.84309895833333,2.261898079202755,"['C: Conversion problem (high GV, low CVR)']"
food_containers,169503.66999999998,54140.0,3715.0,1580214.0,11873.199999999999,4487.0,95.85345862571577,17342.49,0.03426118234618855,0.06861839674916882,0.21930550424824527,37.77661466458658,8.938624964090303,"['B: CTR problem (impr ok, weak click-through)', 'D: Stock problem (demand + weak instock)']"
food_saver,8332.9,2273.0,214.0,46888.0,496.7,252.0,95.18807743116842,714.69,0.04847722231701075,0.09414870215574131,0.21852177738671358,33.06706349206349,0.37527695868816513,"['A: Traffic problem (high CVR, low GV)']"
food_wrap_dispenser,2850.8999999999996,730.0,45.0,10486.0,124.2,69.0,98.12499999975685,0.0,0.06961663169940874,0.06164383561643835,0.17013698630136986,41.31739130434782,0.12052449619109572,"['A: Traffic problem (high CVR, low GV)']"
garage_storage,7718.469999999999,1637.0,83.0,35079.0,245.39999999999998,116.0,97.96884544886738,0.0,0.04666609652498646,0.05070250458155162,0.1499083689676237,66.53853448275862,0.2702720551572927,[]
hanging_closet_organizer,25364.449999999997,10985.0,462.0,232517.0,1412.9,527.0,96.79449248962426,242.23999999999998,0.04724385743838085,0.04205735093309058,0.1286208466090123,48.129886148007586,1.8136460146016251,[]
kitchen_storage_accessories,5785.74,2296.0,133.0,41043.0,453.9,159.0,94.43869773572044,488.14,0.05594132982481787,0.057926829268292686,0.197691637630662,36.388301886792455,0.37907430582843255,"['A: Traffic problem (high CVR, low GV)']"
lunch_bag,44683.44,23781.0,1346.0,679648.0,4489.2,1404.0,96.6138934441174,1492.24,0.03499017138283347,0.05659980656826879,0.18877254951431816,31.82581196581197,3.926291840986914,"['B: CTR problem (impr ok, weak click-through)']"
lunch_box,107747.03,63969.0,1994.0,1783687.0,10337.9,2216.0,97.3982514965942,840.76,0.03586335494960719,0.031171348621988774,0.161607966358705,48.6223059566787,10.561413009381099,"['B: CTR problem (impr ok, weak click-through)', 'C: Conversion problem (high GV, low CVR)']"
other_storage,11930.009999999998,2333.0,265.0,40135.0,688.1,383.0,97.48178311191751,0.0,0.05812881524853619,0.1135876553793399,0.2949421345906558,31.148851174934723,0.38518308166277576,"['A: Traffic problem (high CVR, low GV)']"
outdoor_storage,4018.03,595.0,22.0,6735.0,86.4,43.0,97.19537815125531,0.0,0.08834446919079436,0.03697478991596639,0.14521008403361346,93.44255813953488,0.09823571949822184,[]
paper_towel_holder,3987.24,642.0,149.0,18127.0,268.1,160.0,95.60942367406079,1087.21,0.035416781596513486,0.23208722741433022,0.41760124610591903,24.92025,0.1059955158283335,"['A: Traffic problem (high CVR, low GV)']"
racks,223508.49000000002,121130.0,2892.0,1566277.0,11366.0,3117.0,96.15743416165117,16044.59,0.07733625661361304,0.023875175431354742,0.09383307190621647,71.70628488931666,19.998811265243045,"['C: Conversion problem (high GV, low CVR)']"
sink_sets,3615.0700000000006,1253.0,104.0,30074.0,323.5,104.0,97.01217078959831,34.08,0.04166389572388109,0.08300079808459697,0.2581803671189146,34.760288461538465,0.20687286811978484,"['A: Traffic problem (high CVR, low GV)']"
space_saver_bag,150432.57,33885.0,2478.0,772376.0,6525.5,2806.0,96.2843072155394,15776.259999999998,0.043871119765502814,0.07312970340858788,0.19257783680094437,53.6110370634355,5.594482949911341,[]
spice_jars,33161.979999999996,12323.0,663.0,253471.0,2153.3,748.0,93.3589629152684,1420.56,0.04861700155047323,0.05380183396900105,0.1747382942465309,44.33419786096256,2.034552556935442,['D: Stock problem (demand + weak instock)']
storage_basket,30335.559999999998,38524.0,514.0,268560.0,1613.3000000000002,582.0,98.75856608852182,1559.23,0.14344652963955912,0.01334233205274634,0.04187779046827952,52.12295532646048,6.360391357898316,"['C: Conversion problem (high GV, low CVR)']"
storage_bottles,17942.71,8330.0,408.0,122842.0,1108.2,530.0,97.91116446558834,801.19,0.06781068364240243,0.04897959183673469,0.13303721488595438,33.85416981132075,1.375300072975106,[]
storage_box,227318.87,98883.0,3624.0,1477412.0,10235.0,4645.0,93.73761162185251,22163.769999999997,0.06692987467273855,0.03664937350201754,0.1035061638502068,48.9384004305705,16.32578596830701,"['C: Conversion problem (high GV, low CVR)', 'D: Stock problem (demand + weak instock)']"
storage_set,33269.229999999996,11025.0,904.0,329658.0,2887.8999999999996,1046.0,98.26530612213831,735.1200000000001,0.03344375079627978,0.08199546485260771,0.2619410430839002,31.806147227533458,1.8202500965846988,"['B: CTR problem (impr ok, weak click-through)']"
travel_containers,2754.6499999999996,1019.0,122.0,17776.0,302.0,177.0,99.92639842960929,0.0,0.057324482448244826,0.1197252208047105,0.296368989205103,15.562994350282484,0.16823898851880348,"['A: Traffic problem (high CVR, low GV)']"
under_bed_storage,8638.01,2344.0,174.0,37244.0,395.0,201.0,95.24850682590652,357.85,0.06293631188916335,0.07423208191126279,0.16851535836177475,42.975174129353235,0.38699920420812106,['D: Stock problem (demand + weak instock)']
